1,1,95
2,2,89
3,3,146
4,4,73
5,5,105
6,6,180
7,7,106
8,8,185
9,9,199
10,10,192
11,11,100
12,12,89
13,13,89
14,14,190
15,15,113
16,16,101
17,17,142
18,18,192
19,19,94
20,20,86
21,21,105
22,22,138
23,23,191
24,24,133
25,25,116
26,26,101
27,27,146
28,28,103
29,29,91
30,30,110
31,31,55
32,32,56
33,33,70
34,34,115
35,35,140
36,36,49
37,37,159
38,38,189
39,39,154
40,40,109
41,41,78
42,42,55
43,43,152
44,44,166
45,45,185
46,46,75
47,47,38
48,48,58
49,49,167
50,50,154
51,51,179
52,52,128
53,53,56
54,54,151
55,55,75
56,56,185
57,57,174
58,58,131
59,59,195
60,60,98
61,61,74
62,62,102
63,63,94
64,64,189
65,65,195
66,66,164
67,67,125
68,68,68
69,69,167
70,70,59
71,71,135
72,72,134
73,73,43
74,74,55
75,75,177
76,76,96
77,77,75
78,78,162
